ARQUITETURA_ANSATZ,INPUT_EMBEDDING,DATASET,DATASET_DIVISION_INDEX,OPTIMIZER,UNSUPERVISED_METRIC,MEASURED_WIRES,MEASURE_TYPE,TRAIN_METRIC_COST,TEST_METRIC_COST,TRAIN_ACCURACY,TEST_ACCURACY,WEIGHT,BIAS,USE_BIAS
hr,amplitude,blobs_2classes_2features_500samples_high_noise,5,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,5,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,5,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,6,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,6,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,6,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,6,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,7,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,7,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,7,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,7,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,8,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,8,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,8,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,8,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,9,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,9,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,9,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,9,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,10,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,10,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,10,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,10,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,11,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,11,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,11,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,11,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,12,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,12,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,12,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,12,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,13,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,13,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,13,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,13,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,14,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,14,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,14,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,14,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,15,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,15,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,15,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,15,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,16,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,16,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,16,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,16,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,17,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,17,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,17,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,17,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,18,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,18,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,18,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,18,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,19,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,19,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,19,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,19,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,20,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,20,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,20,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,20,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,21,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,21,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,21,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,21,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,22,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,22,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,22,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,22,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,23,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,23,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,23,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,23,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,24,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,24,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,24,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,24,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,25,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,25,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,25,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,25,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,26,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,26,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,26,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,26,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,27,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,27,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,27,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
